Subject,업체명,공식 사이트 URL,지원 국가,미국 배송 요율,일본 배송 요율,중국 배송 요율,등급 체계,특이사항,데이터 수집 가능 여부,Error
재팬타임몰 (https://www.japantimemall.com) - 일본 배대지 전문,재팬타임몰,https://www.japantimemall.com,일본,,"0.5kg: 9187원, 1kg: 11971원, 2kg: 15687원, 3kg: 19859원, 5kg: 26819원, 10kg: 44362원 / 등급: 일반-9187원, VIP-8279원",,"브론즈: 0회 이상, 실버: 11회 이상, 골드: 21회 이상, 루비: 31회 이상, 사파이어: 41회 이상, 다이아몬드: 51회 이상","해운특송: 부피무게 완전 면제 (단, 한변의 길이 100cm 이상, 세변의 합 150cm 이상, 무게 20kg 이상, 이형화물 및 끈으로 묶인 화물의 경우 국내 배송비 추가 발생 가능). 항공특송: 부피무게 적용 기준 68kg (68kg 미만 실무게 적용, 68kg 이상 실무게와 부피무게 중 높은 무게 적용. 단, 한변의 길이 100cm 이상, 세변의 합 150cm 이상, 무게 20kg 이상, 이형화물 및 끈으로 묶인 화물의 경우 국내 배송비 추가 발생 가능. 팔렛트 포장 및 Box 기준 실무게 30kg 초과시 항공특송 발송 불가 (해운특송만 가능)).",성공,
타배Japan (https://www.tabaejapan.co.kr) - 일본 배대지 전문,타배Japan,https://www.tabaejapan.co.kr,일본,정보 없음,"0.5kg: 680엔, 1kg: 810엔, 2kg: 1070엔, 3kg: 1330엔, 5kg: 1850엔, 10kg: 3150엔 / 등급: 일반-요금 동일, VIP-정보 없음",정보 없음,"개인회원: 조건없음, 사업자회원: 조건없음","배송요금은 0.5Kg부터 0.5Kg 단위로 절상하여 비용을 산정합니다. (예 : 1.36Kg = 1.5Kg). 20kg이상 또는 포장크기(가로+세로+높이)의 합이 140cm을 넘는 경우 또는 한변의 길이가 100cm 이상이거나 모양이 이형일 경우 화물택배(경동택배 또는 대신택배) 착불로 진행됩니다. 멀티박스로 진행되는 경우 일반택배,화물택배로 따로 인계 될 수 있으며, 일반택배 사이즈라 하더라도 일괄로 전부 화물택배로 진행될수도 있습니다. 2kg 미만의 목록통관 창고료 이외 목록통관 배제 물품, 목록통관 금액 초과로 과세대상의 경우,통관번호 불일치시 일반(간이)통관으로 진행되며 이 경우 관세사 수임료 3,300원(사업자 22,000원)+추가할증창고료 등 부대비용(실비청구)이 관 부가세와 별도로 부과됩니다.",성공,
아라쿠 (https://www.araku.co.kr) - 일본 배대지 전문,아라쿠,https://www.araku.co.kr,일본,정보 없음,"0.5kg: 5664원, 1kg: 6624원, 2kg: 8400원, 3kg: 10234원, 5kg: 13500원, 10kg: 22138원 / 등급: 일반-5664원",정보 없음,일반: 조건없음,"배송요금은 0.5Kg부터 0.5Kg 단위로 절상하여 비용을 산정합니다. (예 : 1.36Kg = 1.5Kg). 20kg이상 또는 포장크기(가로+세로+높이)의 합이 140cm을 넘는 경우 또는 한변의 길이가 100cm 이상이거나 모양이 이형일 경우 화물택배(경동택배 또는 대신택배) 착불로 진행됩니다. 멀티박스로 진행되는 경우 일반택배,화물택배로 따로 인계 될 수 있으며, 일반택배 사이즈라 하더라도 일괄로 전부 화물택배로 진행될수도 있습니다. 배송비적용환율 9.60원.",성공,
우마이직구 (https://woomyshipping.com) - 일본 배대지 전문,우마이직구,https://woomyshipping.com,일본,정보 없음,"0.5kg: 9047원, 1kg: 11260원, 2kg: 15591원, 3kg: 17131원, 5kg: 22616원, 10kg: 37533원 / 등급: 일반-9047원, 골드-8594원, VIP-8325원",정보 없음,"일반, 골드, VIP, 사업자 회원 등급이 있으나, 각 등급의 조건은 명시되어 있지 않음","부피무게 계산방식, 무세금 지역, 합배송 등 특이사항 정보 없음",성공,
비드팟 (https://bidpot.co.kr) - 일본/미국/독일 배대지,비드팟,https://bidpot.co.kr,"미국, 일본","0.5kg: $12.46, 1kg: $14.44, 2kg: $18.20, 3kg: $21.47, 5kg: $31.57, 10kg: $50.24 / 등급: 신규-$12.46, 우수-$12.34, VIP-$12.09, VVIP-$11.84","0.5kg: 950엔, 1kg: 1,600엔, 2kg: 2,449엔, 3kg: 2,965엔, 5kg: 4,125엔, 10kg: 7,734엔 / 등급: 신규-950엔, 우수-941엔, VIP-922엔, VVIP-903엔",,"신규: 0% 할인, 우수: 1% 할인, VIP: 3% 할인, VVIP: 5% 할인","미국: 부피무게 계산법: (가로 inch * 세로 inch * 높이 inch) / 166, 일본: 30kg 미만 부피무게 미적용",성공,
켄즈포스트 (https://kenzpost.com) - 일본 배대지 전문,켄즈포스트,https://kenzpost.com,일본,N/A,"0.5kg: 1020엔, 1kg: 1400엔, 2kg: 1850엔, 3kg: 2550엔, 5kg: 3950엔, 10kg: 6300엔 / 등급: 실버-2% 할인, 골드-3% 할인, 플래티넘-5% 할인, 다이아몬드-8% 할인",N/A,"브론즈: 신규회원, 실버: 20건 이상, 골드: 50건 이상, 플래티넘: 80건 이상, 다이아몬드: 100건 이상","부피무게 계산방식: 실중량과 부피무게 중 큰 값 적용, 합배송: 가능 (조건부), 보관료: 30일 무료, 이후 1일당 100엔, 안심보험: 가입 시 파손 최대 100만원 보상",성공,
이랏샤이마세 (https://irasshaimase.co.kr) - 일본 배대지 전문,이랏샤이마세,https://irasshaimase.co.kr,일본,정보 없음,"0.5kg: 890엔, 1kg: 1,500엔, 2kg: 2,000엔, 3kg: 2,250엔, 5kg: 3,250엔, 10kg: 5,000엔 / 등급: 원스타-0%, 투스타-3%, 쓰리스타-7%, 포스타-11%, 파이브스타-15%",정보 없음,"원스타: 0~2건, 투스타: 3~6건, 쓰리스타: 7~12건, 포스타: 13~19건, 파이브스타: 20건 이상","항공일반의 경우 부피무게가 68Kg 이상이면 부피무게를 기준으로 요금청구. 항공일반 오버 사이즈(3변의 길이가 160Cm 초과 또는 1변의 길이가 100Cm 초과) 2,000엔 추가. 무게 25Kg 이상 2,000엔 추가. 해운일반 오버 사이즈(3변의 길이가 160Cm 이상 또는 1변의 길이가 100Cm 초과) 1,000엔 추가. 해운일반 무게 20Kg 이상 500엔 추가 (매 10Kg 마다 300엔 가산). 해운일반 멀티 박스 포장 시 박스당 500엔 수수료. 해운특수는 실 무게만 적용, 오버 사이즈 및 무게 추가 비용 없음, 멀티 박스 추가 비용 없음. EMS 한 변의 길이가 150cm이상, 부피 무게가 300cm이상의 경우 배송 불가. 20만엔 이상 상품은 한국 통관 시 개인 직접 통관 필요. 카드결제 시 카드수수료 3.5% 고객 부담. 환율은 고시환율에 +3% 적용. EMS 국제 배송 요금은 일본 우체국 실비용 청구로 등급별 운송 할인 불가.",성공,
제이포스트 (https://jpost.co.kr) - 일본 배대지 전문,제이포스트,https://jpost.co.kr,,,,,,,실패: 웹사이트가 캡차로 인해 차단되어 배송 요율 정보를 수집할 수 없습니다.,
엘덱스 (https://www.eldex.co.kr) - 일본/미국/독일/영국 배대지,엘덱스,https://www.eldex.co.kr,"미국, 일본","0.5kg: 14478원, 1kg: 18269원, 2kg: 24890원, 3kg: 34858원, 5kg: 48100원, 10kg: 75756원 / 등급: 일반-14478원, 런던아이-14044원, 브리타니아-13754원","0.5kg: 9500원, 1kg: 11300원, 2kg: 14900원, 3kg: 18500원, 5kg: 25700원, 10kg: 43700원 / 등급: 일반-9500원, 런던아이-9215원, 브리타니아-9025원",실패: 중국 배송 서비스 일시중단,"일반: 회원가입, 런던아이: 21건 이상, 브리타니아: 86건 이상","묶음배송 3개 트래킹넘버까지 무료 (4개부터 기본 2,000원, 1개 트래킹넘버마다 1,000원씩 추가). 나눔배송 기본 2박스 2,000원 (추가 1개 박스마다 1,000원씩 추가). 부피무게 관련 정보는 명시되어 있지 않음. 무세금 지역 관련 정보는 명시되어 있지 않음.",성공,
바이니폰 (http://www.buynifon.com) - 일본 배대지 전문,바이니폰,http://www.buynifon.com,일본,정보 없음,"0.5kg: 15,000원, 1kg: 16,900원, 2kg: 20,700원, 3kg: 25,200원, 5kg: 34,000원, 10kg: 56,500원 / 등급: 일반-15,000원 (0.5kg 기준), VIP-정보 없음, VVIP-정보 없음",정보 없음,"일반: 조건없음 (VIP, VVIP 등급 요율 정보는 제공되지 않음)","배송요금은 1Kg부터 0.5Kg 단위로 절상하여 비용을 산정합니다. (예 : 1.36Kg = 1.5Kg). 무게에 비해 부피가 과도하게 큰 제품은 부피/무게가 적용될 수 있습니다. 20kg 이상 또는 포장크기(가로+세로+높이)의 합이 140cm를 넘는 경우 또는 한변의 길이가 80cm 이상이거나 모양이 특별한 경우 화물택배(경동택배) 착불로 진행됩니다. 세관 지정 개인 자가사용 물품으로 볼 수 없거나, 목록통관 배제 물품, 목록통관 금액 초과(USD 150)로 과세대상인 경우 일반통관으로 진행되며 별도의 수입세를 납부하셔야 합니다.",성공,
타배 (https://www.tabae.co.kr) - 중국 배대지 전문,타배,https://www.tabae.co.kr,중국,정보 없음,정보 없음,"0.5kg: 정보 없음, 1kg: 6,400원, 2kg: 8,300원, 3kg: 10,200원, 5kg: 14,000원, 10kg: 23,500원 / 등급: 일반-6,400원, 구매대행사업자-5,800원, AVIP-5,400원, VVIP-5,200원","일반: 조건없음, 구매대행사업자: 조건없음, AVIP: 조건없음, VVIP: 조건없음","부피무게 계산방식: 가로*세로*높이/6000 (항공 운송 시 실무게와 부피무게 중 무거운 무게 적용). 20kg 이상 또는 세 변의 합이 140cm 초과, 한 변의 길이가 100cm 이상, 또는 이형일 경우 화물택배(경동택배 또는 대신택배) 착불 진행. 멀티박스 진행 시 화물택배로 일괄 진행될 수 있음.",성공,
이지타오 (https://www.easytao.co.kr) - 중국/타오바오 배대지 전문,이지타오,https://www.easytao.co.kr,중국,정보 없음,정보 없음,"0.5kg: 정보 없음, 1kg: 6,300원, 2kg: 8,000원, 3kg: 9,700원, 5kg: 13,100원, 10kg: 21,600원 / 등급: 일반고객-6,300원(1kg), 셀러-5,800원(1kg)","일반고객: 조건없음, 셀러: 조건 명시되어 있지 않음","배송요금은 1Kg부터 0.5Kg 단위로 절상하여 비용을 산정합니다. (예 : 1.36Kg = 1.5Kg). CJ택배 또는 한진택배에서 지정한 기준 무게, 부피 초과시 추가 운임 비용 부과됩니다. 사이즈 초과 추가비용 발생 (삼변의합 80-100cm 미만 500원, 100-120cm 미만 1,000원, 120-160cm 미만 3,000원 추가 발생). 무게 15kg 이상, 삼변의합 160cm 초과시 경동택배로 이관. LCL 비용 발생 (BL비용 22,000원, 핸들링비용 33,000원, 사업자 통관수수료 33,000원, 원산지증명 35,000원). 특수화물 비용 발생 가능.",성공,
더싼 (https://www.thessanchina.co.kr) - 중국/1688 배대지 전문,더싼,https://www.thessanchina.co.kr,중국,,,"0.5kg: 3750원, 1kg: 4310원, 2kg: 5430원, 3kg: 6550원, 5kg: 8790원, 10kg: 14390원 / 등급: 개인회원-해당없음, 사업자회원-별도 문의","개인회원: 조건없음, 사업자회원: 별도 문의 필요",부피무게 계산방식: 가로*세로*높이/6000. 항공 운송 시 적용. 해상 운송은 실무게 적용. LCL 해상운송 옵션 제공.,성공,
트리오링크 (https://triolink.co.kr) - 중국/타오바오 배대지 전문,트리오링크,https://triolink.co.kr,중국,정보 없음,정보 없음,"0.5kg: 5,800원, 1kg: 5,800원, 2kg: 7,000원, 3kg: 8,600원, 5kg: 11,800원, 10kg: 19,800원 / 등급: 일반회원-5,800원, 일반VIP회원-5,800원, 사업자회원-5,800원","일반회원: 1-99건, 일반VIP회원: 100건 이상, 사업자회원: 조건없음","부피무게 계산방식: 부피와 무게 중 무게를 기준으로 배송비 책정. 이용요금은 1kg을 기준으로 0.5kg 단위로 절상. 국내배송료 포함. LCL 사업자통관은 1CBM 88,000원 + 0.5CBM당 44,000원 추가, 1-3CBM까지 기본 컨테이너 작업비 33,000원 별도청구, 3CBM 이상부터 33,000원 + 0.5CBM당 8,000원 컨테이너 작업비 추가. 물품 무게 15kg 초과 또는 한 변의 길이 1m 넘거나 세변의 합이 150cm 넘는 대형화물은 경동화물로 변경 배송되며 추가요금 발생 가능.",성공,
직구직구 (https://www.jikgujikgu.com) - 미국/중국 배대지,직구직구,https://www.jiggujiggu.com/,"미국, 중국","0.5kg: 9.6달러, 1kg: 11.5달러, 2kg: 15.3달러, 3kg: 21달러, 5kg: 28.6달러, 10kg: 49.5달러 / 등급: 직구스타트-9.6달러, 직구20마일-9.5달러, 직구50마일-9.41달러, 직구100마일-9.31달러, 직구200마일-9.22달러, 직구메이저-9.12달러",정보 없음,"해상운송: 0.5kg: 5.25달러, 1kg: 5.25달러, 2kg: 6.75달러, 3kg: 8.25달러, 5kg: 10.5달러, 10kg: 15.5달러 / 등급: 직구스타트-5.25달러, 직구20마일-5.2달러, 직구50마일-5.15달러, 직구100마일-5.09달러, 직구200마일-5.04달러, 직구메이저-4.99달러","직구스타트: 1~19건, 직구20마일: 20~50건, 직구50마일: 50~100건, 직구100마일: 100~200건, 직구200마일: 200~300건, 직구메이저: 300건 이상","미국: 부피무게 계산방식: 가로(inch) x 세로(inch) x 높이(inch) ÷ 166. 한 변의 길이가 40인치 이상이거나 사업자 건 및 대량발송의 경우는 100% 부피무게 적용, 그 외 50% 할인 적용. 중국: 해상운송은 부피무게 미적용. 합배송: 멀티박스 박스당 $3 추가.",성공,
포스트팀 (https://postteam.co.kr) - 중국 배대지 전문,포스트팀,https://postteam.co.kr,중국,,,"0.5kg: 6900원, 1kg: 6900원, 2kg: 8900원, 3kg: 10900원, 5kg: 14900원, 10kg: 24900원 / 등급: 개인 일반 회원-6900원, 개인 파트너 회원-6600원, 사업자 일반 회원-5900원, 사업자 파트너 회원-5600원","개인 일반 회원: 0~99 건, 개인 파트너 회원: 100 건 이상, 사업자 일반 회원: 0~499 건, 사업자 파트너 회원: 500 건 이상","최소 1kg 기준이며 소수점 이하는 절상됩니다. (예: 2.3kg > 2.5kg). 부피와 무게를 고려하여 배송비가 책정되며, 무게가 가볍더라도 부피가 큰 경우 추가 요금이 발생할 수 있습니다. 20kg 이상 또는 부피(가로+세로+높이) 160cm 초과, 한 변의 길이 100cm 이상, 이형화물, 마대포장, 포장불량 등의 경우 화물택배(경동택배 또는 대신택배)로 진행되어 추가 운임이 발생합니다. 제주, 도서산간 지역은 추가운임이 발생합니다.",성공,
차이나로드 (https://chinaroad.co.kr) - 중국 배대지 전문,차이나로드,https://www.chinaroad11.com/,중국,정보 없음,정보 없음,"0.5kg: 정보 없음, 1kg: 6900원, 2kg: 8900원, 3kg: 10900원, 5kg: 14900원, 10kg: 24900원 / 등급: Silver-6900원, Gold-6900원, VIP-6700원","Silver, Gold, VIP, 사업자, 재고(3PL) 등급이 있으나, 각 등급별 조건은 명시되어 있지 않습니다.","배송요금은 1Kg부터 0.5Kg 단위로 절상하여 비용을 산정합니다. (예 : 1.36Kg = 1.5Kg). 20kg이상 또는 포장크기(가로+세로+높이)의 합이 100cm을 넘는 경우는 CJ택배 추가운임 또는 멀티박스(한박스당 4000원) 포장되거나 또는 한변의 길이가 100cm 이상이거나 모양이 이형일 경우 화물택배(경동택배 또는 대신택배) 착불로 진행됩니다. 일반(간이)통관 시 관세사 수임료 3,300원이 관부가세와 별도로 부과됩니다. (사업자 25,000원)",성공,
아이템스카우트 배대지 (https://ship.itemscout.io) - 중국 배대지 전문,아이템스카우트 배대지,https://ship.itemscout.io,"중국, 일본",미국 배송 요율 정보 없음,"0.5kg: 8,900원, 1kg: 11,400원, 2kg: 16,400원, 3kg: 21,400원, 5kg: 31,400원, 10kg: 56,400원 / 등급: Bronze-8,900원, DIAMOND-8,900원","0.5kg: 6,400원, 1kg: 6,400원, 2kg: 8,000원, 3kg: 9,600원, 5kg: 12,800원, 10kg: 20,800원 / 등급: Bronze-6,400원, DIAMOND-5,000원","Bronze: 1P 이상, Silver: 200P 이상, Gold(사업자): 5,000P 이상, VIP(사업자): 15,000P 이상, VVIP(사업자): 25,000P 이상, DIAMOND: 100,000P 이상","배송요금은 0.5kg 단위로 절상하여 배송비를 산정합니다. (예 : 2.3Kg = 2.5Kg). 한국 CJ택배사가 지정한 기준무게 및 부피 초과시 이형, 대형추가요금이 발생합니다. CJ대한통운이 지정한 기준(20kg 이상/ 가로+세로+높이= 160cm 이상/ 한 면100cm 이상의 제품/ 이형사이즈의 제품)초과 시 화물택배(경동택배 또는 기타화물) 선불로 진행됩니다. 모든 배송비용은 10%부가세가 불포함입니다. (계산서 발행시 10%부가세 입금 후 발행 가능). 창고 사용 무기한 무료, 트래킹 번호 무제한 무료, 묶음/나눔 배송 무료.",성공,
로켓존 (https://www.rocketzone.co.kr) - 중국 배대지 전문,로켓존,https://www.rocketzone.co.kr,"중국, 일본",미지원,0.5kg: 7400원,1kg: 4000원,정보 없음,"부피무게 계산방식, 무세금 지역, 합배송 등 특이사항 정보 없음","실패: 웹사이트 내에서 요율 정보를 찾을 수 없었으며, 외부 검색을 통해 일부 정보만 확인 가능했습니다.",
쉽군 (https://shipgoon.com) - 미국/일본/중국/독일 다국가 배대지,쉽군,https://shipgoon.com,"미국, 일본, 중국","0.5kg: 16,500원, 1kg: 16,500원, 2kg: 23,700원, 3kg: 30,900원, 5kg: 45,300원, 10kg: 정보없음 / 등급: Lv.1-16,500원, Lv.2-16,300원, Lv.3-16,200원, Lv.4-15,900원, Lv.5-15,100원","0.5kg: 11,200원, 1kg: 11,200원, 2kg: 14,000원, 3kg: 18,000원, 5kg: 24,800원, 10kg: 정보없음 / 등급: Lv.1-14,000원, Lv.2-13,800원, Lv.3-13,500원, Lv.4-12,200원, Lv.5-11,800원","0.5kg: 5,870원, 1kg: 5,870원, 2kg: 9,370원, 3kg: 14,070원, 5kg: 22,270원, 10kg: 정보없음 / 등급: Lv.1-9,370원, Lv.2-9,250원, Lv.3-8,770원, Lv.4-8,230원, Lv.5-7,800원","Lv.1: 조건없음, Lv.2: 조건없음, Lv.3: 조건없음, Lv.4: 조건없음, Lv.5: 조건없음",중국은 실무게로 배송비를 계산합니다. (부피무게 면제).,성공,
